dbID,peak_power,best_period,rest_period,n_cycles,n_obs,baseline,null_p99,null_p999,sig_99,sig_999,log_tau,log_sigma,redshift
1471927,0.9643757489893819,399.4731583250068,143.67470807258192,7.347023525450916,52.0,2934.9386920000034,0.9510850978100661,0.9640818777330682,True,True,5.0,-0.7,1.7804
1202145,0.9543448742030788,330.3387666190941,176.97351688583203,8.854365834612075,16.0,2924.9402889999983,0.9670222225497149,0.9799699118895938,False,False,3.919,-0.74328,0.8666
3657458,0.9486243496011145,460.020920502092,194.74257916437728,4.847490656655606,52.0,2229.9471140000023,0.919181760120942,0.9446540914506724,True,True,2.61245,-0.940699,1.3622
2335899,0.9454772494564051,501.0595875583912,178.77746014856788,5.155001066013915,48.0,2582.962707999999,0.9063546230310298,0.9328415143253399,True,True,1.78718,-0.168049,1.8027
1543061,0.9448293850910839,407.46780320578154,116.55924343663297,6.339059654967467,44.0,2582.962711999993,0.9468351760283765,0.964136737187502,False,False,5.0,-0.925,2.4958
1155541,0.9426171443947466,426.6808964781216,154.68419970929583,4.277459307563784,48.0,1825.1101720000006,0.9430484242326105,0.9634025368967719,False,False,3.70771,-1.16092,1.7584
2197670,0.9346244512773351,335.5562337860522,116.03715118128923,7.6975554256783125,51.0,2582.9627080000064,0.9399161420432134,0.954878937253057,False,False,5.0,-1.075,1.8918
1843670,0.9332998779463797,333.0405149564558,112.51368748528913,8.81255754839238,57.0,2934.938704,0.9339660292340806,0.9462178578960491,False,False,5.0,-1.425,1.96
1469587,0.9306302120594043,408.8314585851074,129.61494470392094,7.178847682507845,42.0,2934.9387690000003,0.9496794061487038,0.9585143396807576,False,False,3.84781,-0.790429,2.1542
1571037,0.9284632196585682,340.22899582237346,192.98298118115343,8.582294877431453,17.0,2919.945568000003,0.9728020940561493,0.9916669191339749,False,False,5.0,-0.45,0.763
4044592,0.9237954179879773,404.098134705504,163.96759371292512,8.257730364016325,61.0,3336.9334369999997,0.9119095574097132,0.9380302625359702,True,False,5.0,-1.05,1.4645
912382,0.9230619845793243,406.45101663585945,188.39854298500947,8.209983447992185,67.0,3336.956119000002,0.9204464244599943,0.9421892725284459,True,False,3.7393,-1.29379,1.1574
582864,0.921776706824512,406.11321451657585,147.62385115106358,8.216812496417301,63.0,3336.9561360000007,0.9221906688596797,0.9410255055830788,False,False,3.60148,-0.899994,1.751
3876098,0.9196355661325017,328.5618229361225,183.63616305394729,10.156180937822313,62.0,3336.9333229999975,0.9064182132698915,0.9176458842908902,True,True,3.77916,-0.952256,0.7892
1387114,0.9185573777628602,400.78374191196576,156.77048383022327,7.2980511535881565,38.0,2924.9402499999997,0.9405977234727816,0.9571807295399436,False,False,5.0,-0.8,1.5565
1493081,0.9183166663882932,398.8210755418518,177.45887494075458,7.359036156784083,55.0,2934.938715000004,0.9114428331361318,0.9278107164111434,True,False,5.0,-0.95,1.2474
4127809,0.9183039022863321,1100.0,647.5158935719331,3.0054915027272693,26.0,3306.0406529999964,0.9548948160816123,0.967792757913777,False,False,2.1648,-0.46171,0.6988
103979,0.9173801874571617,464.39281942977817,327.8221229915136,7.151346205304925,25.0,3321.0338269999993,0.9561477115123529,0.9776918110813038,False,False,2.14998,-0.540586,0.4166
3448378,0.914150372562027,424.4570987356432,159.0560963560081,5.253645550145071,45.0,2229.9471479999993,0.9429066568350427,0.9596113672181041,False,False,2.48444,-0.294739,1.6686
1742362,0.9133657561668551,396.55545536519384,204.7583287887612,7.401080233021053,51.0,2934.9387419999985,0.9589325380062482,0.9719966613733526,False,False,5.0,-0.7,0.9367
1572145,0.9129592336014709,1100.0,461.15792562780365,3.019121634545458,65.0,3321.033798000004,0.8614968989253861,0.8954933320909452,True,True,2.54566,-0.795887,1.3853
3598358,0.9128877606290117,322.7032579982388,126.495730468519,8.004142006567823,54.0,2582.9627029999974,0.895402622357962,0.9244565611765903,True,False,3.25295,-1.05423,1.5511
1611614,0.911045020109564,304.9791955617198,181.93592767507,3.7868578047523753,15.0,1154.9128469999996,0.9868612808866531,0.9918775924816481,False,False,2.06678,-0.50644,0.6763
3742193,0.910746435840482,403.09807516040325,219.79175308637036,8.23877376908454,64.0,3321.033847999999,0.8962756803672539,0.9147020643848043,True,False,3.70716,-0.677858,0.834
1514780,0.908611382930251,334.40802980761913,166.1737377298843,6.668342127678161,44.0,2229.947153000001,0.9471900655539847,0.958860513475229,False,False,5.0,-0.675,1.0124
1519493,0.9074483511002637,426.308646762311,188.95822293440494,6.884539437072162,54.0,2934.9386909999957,0.8836044018314676,0.9232049623182098,True,False,2.75242,-0.754274,1.2561
1668446,0.9073650157398112,415.0825861255309,107.81085845186642,8.039258399509992,66.0,3336.956167000004,0.8925552977908423,0.9228777620162224,True,False,3.4726,-1.36569,2.8501
3538946,0.9072077751654044,582.9533404029693,353.0696750063408,3.825258377383236,52.0,2229.9471489999996,0.9076584519209735,0.9393578962920214,False,False,2.33583,-0.643476,0.6511
1674122,0.906788504123751,321.2183186034621,111.6387997787725,10.338868123831242,64.0,3321.033835000002,0.8861839088384673,0.9022523831426338,True,True,3.37017,-0.809636,1.8773
